,TOOK,TOMB,SUGG,PRPO,PRLA,LIRO,FLNT,CRAM,BLWA,BARC
0.0,0.07907937971191345,0.09062056877603515,0.059242576772153666,0.11118222543967836,0.06978001360590531,0.07119393679517541,0.11048949949117916,0.03605113857858829,0.08459968782478539,0.15687709296862704
6.103515625e-05,0.11794766335290062,0.13509697449246913,0.08839517363258824,0.16592952318489368,0.10423027429195526,0.10624675670535991,0.16488810837117004,0.05377354810981311,0.12611807960067647,0.23400981642433347
0.0001220703125,0.00399154965141811,0.0045676388377501155,0.002973110455996735,0.0055799403419401,0.003506655718117874,0.003590320795461212,0.005578254019599989,0.00182563675569447,0.004267132936193419,0.00788116333836973
0.00018310546875,0.00032980811846724,0.0003765384937882502,0.00023491106932892612,0.0004393477020614179,0.000274867063892039,0.0002926160734556748,0.00045820101126257593,0.00015408579701064136,0.000353614450278441,0.000630320076286404
0.000244140625,9.501279461968844e-05,0.0001082061413735346,6.303153907187084e-05,0.00011710309762749194,7.255379594287555e-05,8.249986361081789e-05,0.00013071800519394002,4.582649168560456e-05,0.0001024423457856641,0.0001727021680582239
0.00030517578125,5.065527349577919e-05,5.763101088100158e-05,3.173982544837504e-05,5.857374135546174e-05,3.590400881851327e-05,4.3244268877025416e-05,6.911828228400235e-05,2.5037215401024336e-05,5.4906209107775426e-05,8.859062504875402e-05
0.0003662109375,3.5666659257373234e-05,4.057305570234499e-05,2.1586871159384637e-05,3.962990200900228e-05,2.4083733440902236e-05,3.01482351689763e-05,4.840465654553528e-05,1.7898535210485824e-05,3.8803498491643344e-05,6.1010223969858285e-05
0.00042724609375,2.847901153168989e-05,3.239566042487225e-05,1.6876400774683096e-05,3.0855895896356316e-05,1.8631217688890512e-05,2.394193209861382e-05,3.851420387690711e-05,1.443780697893493e-05,3.105773768105836e-05,4.8105897030150214e-05
0.00048828125,2.4206363164650843e-05,2.7527890649617317e-05,1.4141040806856572e-05,2.576478878886903e-05,1.5481784588454376e-05,2.0291317397835532e-05,3.265566790403251e-05,1.2369702503422426e-05,2.6436039883954414e-05,4.057019085041318e-05
0.00054931640625,2.129089030523191e-05,2.4197020609483574e-05,1.2304488709939444e-05,2.2346909649851655e-05,1.3378440049554519e-05,1.7824710575963434e-05,2.8669910586254385e-05,1.0956824095150083e-05,2.326832576104739e-05,3.5492898041936386e-05
0.0006103515625,1.9105449224475938e-05,2.1690732374057535e-05,1.094367296389691e-05,1.981385505073656e-05,1.1828862666341667e-05,1.5993301594612058e-05,2.568973780851086e-05,9.899142384767572e-06,2.0881756738718477e-05,3.172227993949069e-05
0.00067138671875,1.735391547756032e-05,1.9673289184659874e-05,9.862526762870285e-06,1.780095155379157e-05,1.0605607430434112e-05,1.453903699073061e-05,2.3306314493583445e-05,9.053739420157106e-06,1.895852785908376e-05,2.87215057839129e-05
0.000732421875,1.5880451906986275e-05,1.7968351794937665e-05,8.959224375381829e-06,1.6119180332596904e-05,9.590853593706909e-06,1.3326378719464132e-05,2.1304656777630418e-05,8.344846312700152e-06,1.7331438205097555e-05,2.621047733364168e-05
0.00079345703125,1.459681837418168e-05,1.6476320757494983e-05,8.17658980517663e-06,1.4662637204153033e-05,8.718566340782722e-06,1.2278549135162284e-05,1.9563055233256322e-05,7.729263819250525e-06,1.5905921378339857e-05,2.4031322137479067e-05
