,ABBY,ARIK,BARC,BARR,BART,BIGC,BLAN,BLDE,BLUE,BONA,CARI,CLBJ,COMO,CPER,CRAM,CUPE,DCFS,DEJU
0.25164794921875,0.0007081531749389428,0.006628837006074965,0.007240990290196618,0.0006955176124893955,0.0038722729385991853,0.011113926472990652,0.0037753941454318303,0.003266917410313092,0.003472193126108153,0.0010222050773960084,0.0005314379534974183,0.002843311676498002,0.0007813864076429579,0.009088023203492331,0.023268881586231187,0.0064703761796349735,0.0063236348533050974,0.004382419482134384
0.251708984375,0.0010872626680632539,0.005378813666649527,0.008009809228691179,0.0011983551057006465,0.002650760885433555,0.009245704952780931,0.0032889197704626606,0.0027764580074658854,0.00415913619324055,0.0014801940902415037,0.0013293852056709752,0.002369513259644511,0.000666114842399977,0.010285771260644339,0.020322810665736477,0.008796254121051872,0.007912222843610223,0.0038789216498160022
0.25177001953125,0.0015319489895301128,0.004893209200619707,0.00879633151183475,0.0018112290585350934,0.0017987062920966656,0.007647764644123335,0.0025481874948529632,0.002224927746428418,0.00512873359291696,0.0026600482952726144,0.002618976585341037,0.001880296403364415,0.0005479875856069728,0.010867477315496872,0.01648123087258511,0.0117037795907838,0.00990510394822985,0.003777858331533891
0.2518310546875,0.001899664497887344,0.004792246521255228,0.009346334802024287,0.002484049190804766,0.00122166299965695,0.006230367408274643,0.001780855956651752,0.0016383156266800522,0.006384443611207938,0.00450766368032109,0.00432728419714082,0.001615936131747658,0.0004453993282718391,0.010678317244013639,0.012228107205556992,0.01513895934234814,0.012285030941137514,0.004195742883939061
0.25189208984375,0.00207170389919669,0.00468051424947969,0.009437735770540174,0.003154802674341943,0.0008569202300795756,0.004919465659406811,0.0012722057380977916,0.0010629436340525431,0.007865177132310218,0.006873597022863796,0.006323381298986884,0.0017765163970387364,0.0003662317568381434,0.00968483193778959,0.008100085375459693,0.01895797844665982,0.014983137206438969,0.005133825042256518
0.251953125,0.002008890596637714,0.004336622901592309,0.00892963140585179,0.0037565157269279625,0.0006807590033513684,0.003686937684228629,0.001207134822516577,0.0005591890464462877,0.009445666117543786,0.009528800676334503,0.00843214463920099,0.002452280351953328,0.00031028968383223633,0.008010854567137498,0.004585522266220161,0.022925374436705778,0.017885097831349644,0.006456955856024334
0.25201416015625,0.0017861215379263312,0.003787819854160386,0.00779906444426651,0.004226368721677327,0.0007026926217036497,0.0025655251067023977,0.0015674427319648917,0.00019317459555880667,0.010950283336652445,0.012192691216419931,0.010453763337245263,0.0035845596598342894,0.0002741992271257908,0.005931085888371368,0.002032278744936997,0.02672869928307877,0.02085312170785015,0.00791308023143382
0.2520751953125,0.0015833013903422924,0.0032647695000420866,0.006156809151386442,0.004514885311528578,0.0009523057353984871,0.001644658802057711,0.0021387395453150325,2.7657332624729544e-05,0.01217855951792719,0.014569575050963986,0.012186611706201854,0.00497064352791332,0.0002563144654199274,0.00381016518983454,0.0005866350452165918,0.030009667283684073,0.02375977442908667,0.009190369048093618
0.25213623046875,0.0016258198210483284,0.003083867081201216,0.0042370897153195305,0.004593135805094745,0.0014620298518681336,0.00104795723846478,0.00262178599324825,0.00011337868641744223,0.012938255663853763,0.016388137142789867,0.01345087411097042,0.006312342816152744,0.0002595920221431473,0.0020037349540012774,0.00017830909572145854,0.032408523122407815,0.026524411244000984,0.009996567669584061
0.252197265625,0.0020909561468542667,0.0035214601157109704,0.002361097800460635,0.004456503424035123,0.002246922935698205,0.0008976763231218795,0.0027861614142936446,0.000481986862571006,0.013080190079675624,0.01743820086333883,0.014110262595596484,0.0072943924149709944,0.00029152264746420655,0.0007595635720545732,0.0005548073487568602,0.033615448928027265,0.029140162666427893,0.010137498501741185
0.25225830078125,0.003016809845586889,0.004727271519981658,0.0008795795910302792,0.004124532246200728,0.0032852032517557985,0.0012747478051346414,0.002580764267173528,0.0011413489130334402,0.012528421828737642,0.01759935646907212,0.014089314195843531,0.007669595360013851,0.00036154792337833624,0.00015757845672147714,0.0013554760761715747,0.03342087755588147,0.03168032756312084,0.009571322653697888
0.2523193359375,0.004256356573612647,0.006691137764823916,0.00010455345998546202,0.0036373799534781324,0.004509100253245294,0.0021844654800723465,0.0021399832408454168,0.002073692948249511,0.011299985020761627,0.01685726462127726,0.013384095863509686,0.007325675149974494,0.00047739221485852386,0.00010849102954884444,0.0022053350081790994,0.03175603438183803,0.034277896826889316,0.008422215304110562
0.25238037109375,0.005505267086283574,0.009249843233584725,0.0002433424690029591,0.003050119387467714,0.005816289850885101,0.0035369896096294597,0.0016848126216815317,0.0032366272848919127,0.009510057192149209,0.01530527817987841,0.01206470589526536,0.0063146973427754514,0.0006420312178898819,0.0004045785814110832,0.0028040493433864676,0.02871606760030921,0.037079630705096525,0.00694921245379225
0.25244140625,0.0064019134281777445,0.01211264917626247,0.001348732145281792,0.002426366919640028,0.0071015812354744134,0.005148783115982456,0.001381097149173869,0.004566733517358679,0.00736092959820987,0.01313120631215761,0.010268765468630887,0.004837628958968644,0.0008525355920827994,0.0007978351651416003,0.002987583573959758,0.024560617237151604,0.040184458450242475,0.00547923844688655
0.25250244140625,0.00666419670301315,0.014894058022641219,0.003296804670106642,0.001832436957832904,0.008291291472782202,0.006766507748122995,0.0012442711821521386,0.005985169674494407,0.005115978296712494,0.01059123732261504,0.008186130312099268,0.003190259282639101,0.0011010304816029223,0.001076840829742895,0.0027484731581273333,0.01969020290168135,0.043582355603282656,0.004323563583535546
0.2525634765625,0.0062067225690371,0.017158244196187427,0.0057990620391447974,0.0013325850974614981,0.009353816263201828,0.008109795180596492,0.0011518545316119445,0.00740457108586203,0.0030624992230982866,0.007974909508267479,0.006036243300178461,0.0016879011723484256,0.0013769655456150316,0.0011211380959021075,0.002212694062880283,0.014600763679952685,0.04711207687027084,0.0037011088454489333
0.25262451171875,0.005185288416529862,0.018487069788336755,0.008448671177077552,0.0009851840405921935,0.0102722989651532,0.008924808747183988,0.0009557156958088501,0.008736500438368369,0.0014692864217924167,0.00556629240672422,0.004040740186027537,0.0005915425036248026,0.0016692723724992952,0.0009230573428225111,0.0015832011334569883,0.009822360021404176,0.050453106219411854,0.003689088178104788
